7|Zaidan|14|55|98|167|55.67|E
14|Luffy|14|87|98|199|66.33|D
47|Danish|15|98|65|178|59.33|E
55|Adil|14|11|2|27|9.00|F
74|Qabil|11|25|11|47|15.67|F
80|Tony|100|87|86|273|91.00|A
81|Gaurav|87|9|68|164|54.67|E
85|Sanji|74|14|25|113|37.67|F
87|Loren|55|44|14|113|37.67|F
90|Robin|48|89|99|236|78.67|C
91|Fathma|87|97|85|269|89.67|B
92|Aryaan|10|25|63|98|32.67|F
93|Harry|45|87|87|219|73.00|C
96|Alvina|14|47|45|106|35.33|F
97|Jarvis|12|58|99|169|56.33|E
98|Zoro|11|47|45|103|34.33|F
99|Roger|100|100|100|300|100.00|A
100|Bruce|98|99|100|297|99.00|A
147|Roronoa zooro|45|88|91|224|74.67|C
